City,Name,Cuisine,Neighborhood,Address,Website,Lat,Lon,Place_ID,Google_Maps_URL,Google_Name
Atlanta,Yebo Beach Haus,Southern African,Buckhead,"56 E Andrews Dr NW Unit 7, Atlanta, GA 30305, USA",https://yebobeachhaus.com/,33.8429998,-84.38099919999999,ChIJG4N3NY8F9YgRG4qzlWEzwCE,https://maps.google.com/?cid=2432000292996483611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yebo Beach Haus
Atlanta,The Garden Room,Contemporary American,Buckhead,"88 W Paces Ferry Rd NW, Atlanta, GA 30305, USA",https://thegardenroomatlanta.com/,33.8398483,-84.3826334,ChIJIxjn9p4F9YgRrCpi4OZ4aXU,https://maps.google.com/?cid=8460426307994528428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Garden Room
Atlanta,Lazy Betty,Contemporary American,Midtown,"999 Peachtree St NE Suite #140, Atlanta, GA 30309, USA",http://lazybettyatl.com/,33.7813991,-84.3836584,ChIJ00zCHiAH9YgR3l-kmURAKrM,https://maps.google.com/?cid=12910201945190588382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lazy Betty
Atlanta,The Alden,American,Chamblee,"5070 Peachtree Blvd Suite B-140, Chamblee, GA 30341, USA",http://www.thealdenrestaurant.com/,33.8886215,-84.31420949999999,ChIJcQQP0f8I9YgRcT4B7WbDPxU,https://maps.google.com/?cid=1531157245159620209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Alden
Atlanta,Little Sparrow,American,West Midtown,"1198 Howell Ml Rd #18, Atlanta, GA 30318, USA",http://littlesparrowatl.com/,33.7865629,-84.4123343,ChIJNRQAlwkF9YgReTrCZ-PLlmc,https://maps.google.com/?cid=7464377609971972729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Little Sparrow
Atlanta,The Optimist,Seafood,West Midtown,"914 Howell Ml Rd, Atlanta, GA 30318, USA",https://www.theoptimistrestaurant.com/,33.779813499999996,-84.4104515,ChIJr9PpEZME9YgRYg1YifCbOw8,https://maps.google.com/?cid=1097642391593553250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Optimist
Atlanta,Canoe,American,Vinings,"4199 Paces Ferry Rd SE, Atlanta, GA 30339, USA",http://www.canoeatl.com/,33.859739999999995,-84.455173,ChIJJbthuA0Q9YgRLIGtr6ZLaOU,https://maps.google.com/?cid=16530545611547443500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Canoe
Atlanta,Ray's on the River,Steak,Sandy Springs,"6700 Powers Ferry Rd NW, Sandy Springs, GA 30339, USA",https://raysontheriver.com/,33.900492,-84.44080199999999,ChIJS56ZfdYR9YgRVCv-ZtCbooQ,https://maps.google.com/?cid=9557372678617049940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Ray's on the River
Atlanta,Mujō,Japanese,West Midtown,"691 14th St NW c, Atlanta, GA 30318, USA",https://www.mujoatl.com/,33.7861591,-84.41142239999999,ChIJIb9pCKMF9YgRWsQF-tZOGdI,https://maps.google.com/?cid=15139218307607282778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mujō
Austin,Red Ash Italia,Italian,Downtown,"Colorado Tower, 303 Colorado St #200, Austin, TX 78701, USA",http://redashgrill.com/,30.2657022,-97.74494089999999,ChIJWfpBiwi1RIYRvg4iIbIE2go,https://maps.google.com/?cid=781942648408772286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Red Ash
Austin,Este,Contemporary Mexican,East Austin,"2113 Manor Rd, Austin, TX 78722, USA",http://esteatx.com/,30.283932500000002,-97.7194787,ChIJdTGqexG1RIYRS03eNwgxz7Y,https://maps.google.com/?cid=13172801346448805195&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Este
Austin,Comedor,Mexican,Downtown,"501 Colorado St, Austin, TX 78701, USA",https://comedortx.com/,30.267599299999997,-97.744164,ChIJgywubmi1RIYRQlw1yAejkGA,https://maps.google.com/?cid=6958240678106455106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Comedor
Austin,Clark's Oyster Bar - Austin,Seafood,Clarksville,"1200 W 6th St, Austin, TX 78703, USA",https://www.clarksoysterbar.com/locations/austin,30.2729938,-97.7571715,ChIJbeqvYxO1RIYR5zZEcyfr02s,https://maps.google.com/?cid=7769812336814339815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Clark's Oyster Bar - Austin
