City,Name,Cuisine,Neighborhood,Address,Website,Lat,Lon,Place_ID,Google_Maps_URL,Google_Name,OpenTableUrl
Austin,Suerte,Contemporary Mexican,East Austin,"1800 E 6th St, Austin, TX 78702, USA",https://www.suerteatx.com/,30.2622778,-97.7232758,ChIJAQBE-7a1RIYRcZNYsxWYIUg,https://maps.google.com/?cid=5197602663932924785&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Suerte,https://www.opentable.com/r/suerte-austin
Austin,Kemuri Tatsu-ya,Barbecue,East Austin,"2713 E 2nd St, Austin, TX 78702, USA",https://kemuri-tatsuya.com/,30.253838,-97.712949,ChIJl7OoOTO0RIYRskVofJdNTzE,https://maps.google.com/?cid=3553143944041219506&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Kemuri Tatsu-Ya,https://www.opentable.com/r/kemuri-tatsu-ya-austin
Austin,La Condesa,Mexican,Downtown,"400A W 2nd St, Austin, TX 78701, USA",https://lacondesa.com/,30.2656391,-97.7477811,ChIJj9nrSA-1RIYRybO2K0NxQUo,https://maps.google.com/?cid=5350682365603001289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,La Condesa,https://www.opentable.com/la-condesa
Austin,Emmer & Rye,American,Downtown,"SkyHouse, 51 Rainey St UNIT 110, Austin, TX 78701, USA",https://www.emmerandrye.com/,30.2574194,-97.7390667,ChIJPWOnS6q1RIYRDOnUe3r5FPs,https://maps.google.com/?cid=18092359907513002252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Emmer & Rye,https://www.opentable.com/emmer-and-rye-austin
Austin,Perla's Seafood and Oyster Bar,Seafood,South Congress,"1400 S Congress Ave, Austin, TX 78704, USA",https://perlasaustin.com/,30.2499585,-97.7500913,ChIJb7byD_20RIYRT9uoSeSUvzY,https://maps.google.com/?cid=3945035506809101135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Perla's,https://www.opentable.com/r/perlas-seafood-and-oyster-bar-austin
Austin,OKO,Asian,East Austin,"1100 E 6th St, Austin, TX 78702, USA",https://okoaustin.com/,30.2648498,-97.7312949,ChIJw0d-LwC1RIYRRpCltdeg2og,https://maps.google.com/?cid=9861371182407061574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OKO Austin,https://www.opentable.com/r/oko-austin
Austin,Birdie's,Farm-to-table,East Austin,"2944 E 12th St Unit A, Austin, TX 78702, USA",https://www.birdiesaustin.com/,30.2764082,-97.7045648,ChIJt-mDBwi1RIYRGqaj9MS9Zjk,https://maps.google.com/?cid=4136201961401984538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Birdie's,https://www.opentable.com/r/birdies-austin
Austin,Nixta Taqueria,Mexican,East Austin,"2512 E 12th St, Austin, TX 78702, USA",https://nixtataqueria.com/,30.2750091,-97.7132754,ChIJhZqjqb-1RIYRUa_qnToL44k,https://maps.google.com/?cid=9935797549294858065&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nixta Taqueria,https://www.opentable.com/r/nixta-taqueria-austin
Baltimore,The Ruxton,Steakhouse,Harbor East,"720 Aliceanna St, Baltimore, MD 21202, USA",https://theruxtonsteakhouse.com/,39.2833771,-76.6023062,ChIJ_ZJNrTsDyIkRCpsnfbfbcO0,https://maps.google.com/?cid=17109416565505760010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Ruxton Steakhouse,https://www.opentable.com/r/the-ruxton-baltimore
Baltimore,Azumi,Japanese,Harbor East,"725 Aliceanna St, Baltimore, MD 21202, USA",https://www.azumirestaurant.com/,39.2827766,-76.6029077,ChIJh1DOXHwDyIkRKxZW6cqsm98,https://maps.google.com/?cid=16112662079346185771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Azumi,https://www.opentable.com/r/ouzo-bay-baltimore
