name,city,state,country,reason
Jimmy's Hideaway,Boston,MA,USA,Not found in Google Places
Winds Cafe,Cincinnati,OH,USA,Not found in Google Places
CRU,Nantucket,MA,USA,Not found in Google Places
Millie's Nantucket,Nantucket,MA,USA,Not found in Google Places
