name,city,state,country,address,website,lat,lon,place_id,google_maps_url,google_name
Shiki Omakase,New York,NY,USA,"71 W Houston St, New York, NY 10012, USA",http://shikiomakasenyc.com/,40.726458799999996,-73.9995183,ChIJGRfZp4FZwokRc5bLX3yR5wI,https://maps.google.com/?cid=209295871065167475&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shiki Omakase
Shalom Japan,New York,NY,USA,"310 S 4th St rear, Brooklyn, NY 11211, USA",http://shalomjapannyc.com/,40.709173299999996,-73.9557774,ChIJ9ev4B-FbwokRhzTqc9KP5-I,https://maps.google.com/?cid=16350195106242507911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shalom Japan
Shinji's,New York,NY,USA,"37 W 20th St, New York, NY 10011, USA",http://shinjisbar.com/,40.740750500000004,-73.9931495,ChIJiy6z0-NZwokR7WHqoTS8wSE,https://maps.google.com/?cid=2432432207997592045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shinji's
Shinpi Omakase,New York,NY,USA,"121 Madison Ave #3, New York, NY 10016, USA",https://www.shinpiomakase.com/,40.745384900000005,-73.98454720000001,ChIJvVNU0HpZwokRN_IjZBkNk60,https://maps.google.com/?cid=12507354992843420215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shinpi Omakase
Shinn East,New York,NY,USA,"119 E 7th St, New York, NY 10009, USA",http://shinneast.com/,40.7265685,-73.9842899,ChIJPaP9wCJZwokRwcYpugUpdIY,https://maps.google.com/?cid=9688413802955654849&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SHINN EAST
Shinzo Omakase,New York,NY,USA,"BYOB (No Corkage Fee), 60 Min Session, Please be On Time, 89 E 2nd St, New York, NY 10009, USA",http://www.shinzoomakase.com/,40.7237321,-73.987715,ChIJnYh7RINZwokR-PjRtFNkw7M,https://maps.google.com/?cid=12953307263926401272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shinzo Omakase
SHION 69 Leonard Street,New York,NY,USA,"69 Leonard St, New York, NY 10013, USA",http://www.69leonardstreet.com/,40.7176901,-74.0053795,ChIJnbEEPiBawokRN3BGCWpw2nE,https://maps.google.com/?cid=8203993271933235255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,69 Leonard Street
Shiraz Kitchen & Wine Bar,New York,NY,USA,"111 W 17th St, New York, NY 10011, USA",https://www.shirazkitchen.com/,40.7396852,-73.9961278,ChIJnRMR37xZwokRU8JXc3ygTFs,https://maps.google.com/?cid=6578809612052972115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shiraz Kitchen & Wine Bar
Shirokuro,New York,NY,USA,"103 2nd Ave, New York, NY 10003, USA",http://www.shirokuronyc.com/,40.727587,-73.9886731,ChIJY-AxVQBZwokRQa-hQDzy7o0,https://maps.google.com/?cid=10227378144401272641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shirokuro
Shmoné,New York,NY,USA,"61 W 8th St, New York, NY 10011, USA",https://www.shmonenyc.com/,40.7335735,-73.9990515,ChIJBdMLKZBZwokRJ0tYbQ6nfZ4,https://maps.google.com/?cid=11420467910487329575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SHMONÉ
Shogun Omakase,New York,NY,USA,"295 Madison Ave #101G, New York, NY 10017, USA",http://shogunomakase.com/,40.751833999999995,-73.97929119999999,ChIJKd8EGv1ZwokRtzxTHd6RpjI,https://maps.google.com/?cid=3649764931191127223&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SHOGUN OMAKASE | Manhattan Sushi Restaurant
Shoo Shoo,New York,NY,USA,"371 Broome St, New York, NY 10013, USA",http://shooshoonolita.com/,40.720053,-73.9962548,ChIJYxIsQeZZwokRaw14pa1xNPA,https://maps.google.com/?cid=17308584258511048043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shoo Shoo Nolita
SHŌSH,New York,NY,USA,"41 Greenwich Ave, New York, NY 10014, USA",,40.7354251,-74.0006725,ChIJ5da30XlZwokR7hYVJEUj40Y,https://maps.google.com/?cid=5107965182233351918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SHŌSH
Shuka,New York,NY,USA,"38 MacDougal St, New York, NY 10012, USA",http://www.shukanewyork.com/,40.7270639,-74.0027877,ChIJ3dbcl41ZwokRouIrXtQ5erk,https://maps.google.com/?cid=13365058428451152546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shuka
Shoshin68,New York,NY,USA,"68 Thompson St, New York, NY 10012, USA",http://www.shoshin68nyc.com/,40.724378099999996,-74.0028762,ChIJ1UtKrDFZwokR5Yslqazm448,https://maps.google.com/?cid=10368384396383587301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SHOSHIN 68
Shukette,New York,NY,USA,"230 9th Ave, New York, NY 10001, USA",http://www.shukettenyc.com/,40.747154599999995,-74.0005218,ChIJuabZo6hZwokRhGPoGjo0H6k,https://maps.google.com/?cid=12186516540852036484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shukette
Shota Omakase,New York,NY,USA,"50 S 3rd St, Brooklyn, NY 11249, USA",https://shotaomakase.com/,40.713519999999995,-73.96615729999999,ChIJ34eY6E5ZwokRvof_huM7t3U,https://maps.google.com/?cid=8482314271584126910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Shota omakase
Sicily,New York,NY,USA,"328-330 W 46th St, New York, NY 10036, USA",http://sicilynyc.com/,40.7601601,-73.9891863,ChIJ03krMjJZwokRYRF15upaCHw,https://maps.google.com/?cid=8937493425452028257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sicily Osteria
Siam Thai Eatery,New York,NY,USA,"157-02 Northern Blvd, Flushing, NY 11354, USA",https://www.siamthaieatery.com/,40.7635277,-73.80812689999999,ChIJd6nwCbVhwokRfHKpQFkElXc,https://maps.google.com/?cid=8616798243426759292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Siam Thai eatery
